Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: blocks,Spreadsheet: state,Spreadsheet: highProbCue,Spreadsheet: lowProbCue,Spreadsheet: outcomes_array,Spreadsheet: answers,Spreadsheet: stimuli_left,Spreadsheet: stimuli_right,Spreadsheet: leftIdx,Spreadsheet: rightIdx,Spreadsheet: loss_blue,Spreadsheet: loss_red,Spreadsheet: xfix,Spreadsheet: xcues,Manipulation: Spreadsheet,Store: amount0,Store: amount,Store: correct,Store: total
1175,1697785891372,20/10/2023 07:11:31,1697789491372,1,20/10/2023 09:11:31,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,13,trial4,1,9l5xr2,1,timedOut,,1322,1322,1322,1322,1322,1322,1,1322,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1314.941693,608.9007969,,0.5,37.5,147,222
1176,1697785891926,20/10/2023 07:11:31,1697789491926,1,20/10/2023 09:11:31,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,13,trial4,1,9l5xr2,1,continue,,1876,1876,1876,1876,1876,1876,1,1876,0,0,,Fixation Timing,Fixation,1,object-132,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1314.941693,608.9007969,,0.5,37.5,147,222
1177,1697785891976,20/10/2023 07:11:31,1697789491976,1,20/10/2023 09:11:31,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,13,trial4,2,kcxrxf,2,timedOut,,605,605,605,605,605,605,1,605,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1314.941693,608.9007969,,0.5,37.5,147,222
1178,1697785892496,20/10/2023 07:11:32,1697789492496,1,20/10/2023 09:11:32,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,13,trial4,3,swrfk9,3,response,1,518,506,518,518,506,518,1,518,0,0,,Keyboard Response,Keyboard Response,4,object-293,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1314.941693,608.9007969,,0.5,37.5,148,223
1179,1697785893978,20/10/2023 07:11:33,1697789493978,1,20/10/2023 09:11:33,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,13,trial4,4,7p4hon,4,timedOut,,1496,1495,1496,1496,1495,1496,1,1496,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,red.png,blue.png,2,1,0,0.1,1314.941693,608.9007969,,0.5,37.5,148,223
1180,1697785895222,20/10/2023 07:11:35,1697789495222,1,20/10/2023 09:11:35,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,14,trial4,1,9l5xr2,1,timedOut,,1245,1245,1245,1245,1245,1245,1,1245,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,blue.png,red.png,1,2,0,0.1,1244.784995,969.8305051,,0.5,37.5,148,223
1181,1697785895790,20/10/2023 07:11:35,1697789495790,1,20/10/2023 09:11:35,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,14,trial4,1,9l5xr2,1,continue,,1813,1813,1813,1813,1813,1813,1,1813,0,0,,Fixation Timing,Fixation,1,object-132,trial4,7,4,0.2,2,1,2,1,blue.png,red.png,1,2,0,0.1,1244.784995,969.8305051,,0.5,37.5,148,223
1182,1697785896194,20/10/2023 07:11:36,1697789496194,1,20/10/2023 09:11:36,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,14,trial4,2,kcxrxf,2,timedOut,,971,971,971,971,971,971,1,971,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,blue.png,red.png,1,2,0,0.1,1244.784995,969.8305051,,0.5,37.5,148,223
1183,1697785896342,20/10/2023 07:11:36,1697789496342,1,20/10/2023 09:11:36,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,14,trial4,3,swrfk9,3,response,1,147,135,147,147,135,147,1,147,0,0,,Keyboard Response,Keyboard Response,4,object-293,trial4,7,4,0.2,2,1,2,1,blue.png,red.png,1,2,0,0.1,1244.784995,969.8305051,,0.5,37.5,149,224
1184,1697785897837,20/10/2023 07:11:37,1697789497837,1,20/10/2023 09:11:37,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,14,trial4,4,7p4hon,4,timedOut,,1509,1508,1509,1509,1508,1509,1,1509,0,0,,Time Limit,screen,0,screen,trial4,7,4,0.2,2,1,2,1,blue.png,red.png,1,2,0,0.1,1244.784995,969.8305051,,0.5,37.5,149,224
