Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: blocks,Spreadsheet: state,Spreadsheet: highProbCue,Spreadsheet: lowProbCue,Spreadsheet: outcomes_array,Spreadsheet: answers,Spreadsheet: stimuli_left,Spreadsheet: stimuli_right,Spreadsheet: leftIdx,Spreadsheet: rightIdx,Spreadsheet: loss_blue,Spreadsheet: loss_red,Spreadsheet: xfix,Spreadsheet: xcues,Manipulation: Spreadsheet,Store: amount0,Store: amount,Store: correct,Store: total
1,1698047046637,23/10/2023 07:44:06,1698050646637,1,23/10/2023 09:44:06,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1698047051019,23/10/2023 07:44:11,1698050651019,1,23/10/2023 09:44:11,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,instructions,intro 1,s6834o,1,continue,,0,0,0,6954,6942,6954,1,0,0,0,,Click To Continue,Continue Button,2,object-11,instructions,,,,,,,,,,,,,,,,,,,,
3,1698047053299,23/10/2023 07:44:13,1698050653299,1,23/10/2023 09:44:13,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,instructions,intro 2,v3rtr6,2,continue,,2293,2285,2293,2293,2285,2293,1,2293,0,0,,Click To Continue,Continue Button,2,object-139,instructions,,,,,,,,,,,,,,,,,,,,
4,1698047057916,23/10/2023 07:44:17,1698050657916,1,23/10/2023 09:44:17,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,instructions,intro 3,43e5qn,3,continue,,4625,4616,4625,4625,4616,4625,1,4625,0,0,,Click To Continue,Continue Button,2,object-916,instructions,,,,,,,,,,,,,,,,,,,,
5,1698047060909,23/10/2023 07:44:20,1698050660909,1,23/10/2023 09:44:20,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,countdown_pract,countdown,nu4fp5,1,timedOut,,3001,3001,3001,3001,3001,3001,1,3001,0,0,,Time Limit,screen,0,screen,countdown_pract,,,,,,,,,,,,,,,,,,,,
6,1698047061958,23/10/2023 07:44:21,1698050661958,1,23/10/2023 09:44:21,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,practice_trial,fixation,8jdba8,1,timedOut,,1050.0000000000036,1050,1050.0000000000036,1050.0000000000036,1050,1050.0000000000036,1,1050.0000000000036,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,,,,
7,1698047062525,23/10/2023 07:44:22,1698050662525,1,23/10/2023 09:44:22,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,practice_trial,fixation,8jdba8,1,continue,,1616,1616,1616,1616,1616,1616,1,1616,0,0,,Fixation Timing,Fixation,1,object-54,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,,,,
8,1698047062575,23/10/2023 07:44:22,1698050662575,1,23/10/2023 09:44:22,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,practice_trial,cues,xu4j1l,2,timedOut,,617,616,617,617,616,617,1,617,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,,,,
9,1698047063024,23/10/2023 07:44:23,1698050663024,1,23/10/2023 09:44:23,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,practice_trial,response,6nrjly,3,response,2,448.00000000000364,434,448.00000000000364,448.00000000000364,434,448.00000000000364,1,448.00000000000364,0,0,,Keyboard Response,Keyboard Response,4,object-66,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,0,,,
10,1698047064508,23/10/2023 07:44:24,1698050664508,1,23/10/2023 09:44:24,0,0,,,32422120,,9593912,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1791x956,,,0,ActionLearning_v3 (Clone),1,trial_list_v2,1,practice_trial,feedback,l15q64,4,timedOut,,1500,1500,1500,1500,1500,1500,1,1500,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1042.498532,616.5451361,,0,,,
