Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: blocks,Spreadsheet: state,Spreadsheet: highProbCue,Spreadsheet: lowProbCue,Spreadsheet: outcomes_array,Spreadsheet: answers,Spreadsheet: stimuli_left,Spreadsheet: stimuli_right,Spreadsheet: leftIdx,Spreadsheet: rightIdx,Spreadsheet: loss_blue,Spreadsheet: loss_red,Spreadsheet: xfix,Spreadsheet: xcues,Manipulation: Spreadsheet,Store: amount0,Store: amount,Store: correct,Store: total
1,1697749118627,19/10/2023 20:58:38,1697752718627,1,19/10/2023 22:58:38,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1697749121633,19/10/2023 20:58:41,1697752721633,1,19/10/2023 22:58:41,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,instructions,intro 1,s6834o,1,continue,,0,0,0,5612,5599,5612,1,0,0,0,,Click To Continue,Continue Button,2,object-11,instructions,,,,,,,,,,,,,,,,,,,,
3,1697749122815,19/10/2023 20:58:42,1697752722815,1,19/10/2023 22:58:42,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,instructions,intro 2,v3rtr6,2,continue,,1195.000000000001,1183,1195.000000000001,1195.000000000001,1183,1195.000000000001,1,1195.000000000001,0,0,,Click To Continue,Continue Button,2,object-139,instructions,,,,,,,,,,,,,,,,,,,,
4,1697749123744,19/10/2023 20:58:43,1697752723744,1,19/10/2023 22:58:43,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,instructions,intro 3,43e5qn,3,continue,,941,932,941,941,932,941,1,941,0,0,,Click To Continue,Continue Button,2,object-916,instructions,,,,,,,,,,,,,,,,,,,,
5,1697749126736,19/10/2023 20:58:46,1697752726736,1,19/10/2023 22:58:46,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,countdown_pract,countdown,nu4fp5,1,timedOut,,3001,3000,3001,3001,3000,3001,1,3001,0,0,,Time Limit,screen,0,screen,countdown_pract,,,,,,,,,,,,,,,,,,,,
6,1697749127787,19/10/2023 20:58:47,1697752727787,1,19/10/2023 22:58:47,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,practice_trial,fixation,8jdba8,1,timedOut,,1052,1051,1052,1052,1051,1052,1,1052,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1059.426638,830.4180472,,,,,
7,1697749128370,19/10/2023 20:58:48,1697752728370,1,19/10/2023 22:58:48,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,practice_trial,fixation,8jdba8,1,continue,,1635,1635,1635,1635,1635,1635,1,1635,0,0,,Fixation Timing,Fixation,1,object-54,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1059.426638,830.4180472,,,,,
8,1697749128620,19/10/2023 20:58:48,1697752728620,1,19/10/2023 22:58:48,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,practice_trial,cues,xu4j1l,2,timedOut,,834,834,834,834,834,834,1,834,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1059.426638,830.4180472,,,,,
9,1697749128836,19/10/2023 20:58:48,1697752728836,1,19/10/2023 22:58:48,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,practice_trial,response,6nrjly,3,response,2,214,200,214,214,200,214,1,214,0,0,,Keyboard Response,Keyboard Response,4,object-66,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1059.426638,830.4180472,,0,,,
10,1697749130320,19/10/2023 20:58:50,1697752730320,1,19/10/2023 22:58:50,0,0,,,32372134,,9573332,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),2,trial_list_v2,1,practice_trial,feedback,l15q64,4,timedOut,,1500,1500,1500,1500,1500,1500,1,1500,0,0,,Time Limit,screen,0,screen,practice_trial,0,0,0.9,1,2,1,2,blue.png,red.png,1,2,0.1,0,1059.426638,830.4180472,,0,,,
